rank_B,cell_id,district,barri,expected_myco_type,sealed_pct,lst_anomaly,mean_ndvi,mismatch_flag,composite_score_B,intervention_type,bridge_score,colonisation_uncertain,appears_in_all_scenarios
1,C016_011,SANTS - MONTJUÏC,LA MARINA DEL PORT,AM,0.802,7.916,-0.006,0,0.855,de-paving,0.0,False,1
2,C031_035,SANT ANDREU,EL BON PASTOR,AM,0.802,6.044,0.018,0,0.821,de-paving,0.0,False,1
3,C032_032,SANT ANDREU,EL BON PASTOR,AM,0.806,5.524,0.017,0,0.817,de-paving,0.0,False,1
4,C020_016,SANTS - MONTJUÏC,EL POBLE SEC,AM,0.818,2.386,0.006,0,0.797,de-paving,0.0,False,1
5,C016_010,SANTS - MONTJUÏC,LA MARINA DEL PRAT VERMELL,AM,0.806,4.796,0.041,0,0.797,de-paving,0.0,False,1
6,C014_016,SANTS - MONTJUÏC,SANTS - BADAL,AM,0.884,2.05,0.066,0,0.794,de-paving,0.0,False,0
7,C026_019,CIUTAT VELLA,"SANT PERE, SANTA CATERINA I LA RIBERA",AM,0.883,0.305,0.046,0,0.788,de-paving,0.0,False,1
8,C015_016,SANTS - MONTJUÏC,SANTS - BADAL,AM,0.882,1.516,0.065,0,0.788,de-paving,0.0,False,0
9,C027_027,SANT MARTÍ,EL CAMP DE LARPA DEL CLOT,AM,0.879,1.492,0.073,0,0.786,de-paving,0.0,False,0
10,C025_030,HORTA - GUINARDÓ,EL GUINARDÓ,AM,0.875,1.031,0.079,0,0.775,de-paving,0.0,False,0
11,C020_024,SARRIÀ - SANT GERVASI,LA VILA DE GRÀCIA,AM,0.887,-0.467,0.077,0,0.766,de-paving,0.0,False,0
12,C025_020,EIXAMPLE,LA DRETA DE LEIXAMPLE,AM,0.889,-0.821,0.074,0,0.764,de-paving,0.0,False,1
13,C015_019,LES CORTS,LES CORTS,AM,0.859,1.697,0.106,0,0.761,de-paving,0.0,False,1
14,C025_036,NOU BARRIS,LES ROQUETES,AM,0.849,0.534,0.075,0,0.753,de-paving,0.0,False,0
15,C021_023,GRÀCIA,LA VILA DE GRÀCIA,AM,0.885,-1.9,0.069,0,0.747,de-paving,0.0,False,0
